,heading,summary,link,image
0,Bigg Boss 15 Episode 95 Written Update,"On the 95th episode of Bigg Boss 15, Rakhi Sawant and Devoleena made many
revelations. The show will soon enter its final week.",/television/reality-tv/story/bigg-boss-15-episode-95-written-update-rakhi-sawant-reveals-her-father-married-two-women-leaves-everyone-in-splits-1897559-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/Rakhi-Sawant-breaks-ties-with-_1200x768.jpeg?xI8A3S89NZas26HipgiKVtxle1dFZrBa&size=170:96
1,"Omicron symptoms not as 'mild', here's what experts say","While there’s a general consensus that an infection caused by Omicron is
milder than Delta variant, experts say even minor symptoms can feel
“uncomfortable” and may develop into “long Covid”.",/coronavirus-outbreak/story/mild-omicron-symptoms-long-covid-hospitalisation-what-experts-say-1897565-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/gettyimages-1360057513-170667a_1200x768.jpeg?cp3X.NhKaJ_LTNWuqTYdpvdNm5TAN6Vf&size=170:96
2,Yash looks deadly in new poster of KGF Chapter 2. Seen yet?,"On January 8, Kannada actor Yash is celebrating his birthday. As a gift, the
makers of KGF: Chapter 2 released a special poster.",/movies/regional-cinema/story/yash-looks-deadly-in-birthday-special-poster-of-kgf-chapter-2-seen-yet-1897564-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/Yash_birthday_kgf_2_poster_1200x768.jpeg?0myLBwVqStYDkV5X87QDAReGPyWzk99w&size=170:96
3,"Pujara reminds me of Hashim Amla, it's a blessing to have him: Sunil Gavaskar","Sunil Gavaskar said that Cheteshwar Pujara reminds him of former South Africa
opener Hashim Amla. Gavaskar further added that players with Pujara's
temperament are a blessing to the dressing room.",/sports/cricket/story/sa-vs-ind-cheteshwar-pujara-reminds-me-of-hashim-amla-sunil-gavaskar-1897563-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/2022-01-03T092032Z_1363707676__1200x768.png?0.YoGUEtsP.XxWrwuxMYlWoO0xbbk_Dd&size=170:96
4,Google faces probe in India after news publishers complain of unfair conditions,"Internet giant Google is facing a probe in India following allegations from
news publishers, saying its initial view was that the tech giant had broken
some antitrust laws.",/business/story/google-probe-india-unfair-conditions-news-publishers-1897561-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/google_1200x768.jpeg?bLOetH4U0VdBqzk4GA4nWfDbluvNVmic&size=170:96
5,"Petrol, Diesel prices today: Fuel rates kept unchanged on January 8 | Check latest rates","The prices of petrol and diesel have been kept unchanged across the country
on Saturday, January 8, 2022. Check the latest city-wise rates here.",/business/story/petrol-diesel-prices-today-fuel-rates-unchanged-on-january-8-latest-rates-1897558-2022-01-08,"https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/Petrol,_diesel_prices_812022.jpg?z_meZrWjFZLJNcOLVIhr7QGq6.rlTSbv&size=170:96"
6,"Trisha tests positive for Covid-19, currently in isolation","On January 7, Trisha took to social media to inform her fans that she had
tested positive for Covid-19 before New Year. She also added that she is
recovering.",/movies/regional-cinema/story/trisha-tests-positive-for-covid-19-says-she-had-a-harrowing-week-1897556-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/Trisha_Covid_positive_1200x768.jpeg?IyAs0HLq_Eg97FbpIh_g2VBFmBXVmhQG&size=170:96
7,Naomi Osaka pulls out of Melbourne tournament semifinal,"Defending Australian Open champion Naomi Osaka has withdrawn from her
semifinal match at a WTA tournament in Melbourne with an abdominal injury.",/sports/tennis/story/naomi-osaka-withdraws-from-melbourne-tournament-semifinal-1897555-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/AP22007458183301__1__1200x768.jpeg?YF9voBZPfU9L.19zbq3mo_d.9q_YS4TS&size=170:96
8,83 box office collection Day 15,"Ranveer Singh's 83 is soon going to enter the Rs 100 crore club in India. The
film released on December 24.",/movies/bollywood/story/83-box-office-collection-day-15-ranveer-singh-starrer-picks-pace-in-second-week-1897553-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/ranveer-singh-83-759_1200x768.jpeg?QmAveAHeu2x3Kj.wgvUehORwArJJUema&size=170:96
9,"India logs 1.41 lakh new Covid-19 cases in 24 hours, Omicron tally reaches 3,071","India registered 1,41,986 new Covid-19 cases in the last 24 hours, 21.3 per
cent higher than yesterday.",/coronavirus-outbreak/story/india-new-covid-19-cases-today-deaths-corona-tracker-omicron-vaccine-1897552-2022-01-08,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202201/Virus_Outbreak_India_220043184_1_1200x768.jpeg?ketVQwkQQQKdkdJhyOEXivOyxstIuW_l&size=170:96
