,heading,summary,link,image
0,"FCRA registration of Missionaries of Charity renewed, valid till 2026","Details for Kolkata-based Missionaries of Charity show that the organisation's FCRA certification was renewed on January 6. The registration certificate is now valid till December 31, 2026.",https://indianexpress.com/article/india/fcra-registration-of-missionaries-of-charity-renewed-7712623/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
1,Watch: Joe Root surprises Usman Khawaja with a bouncer on Day 4 at SCG,England took the key wickets but Australia continued their march towards a second declaration with a lead of 271 runs at tea on the fourth day of the fourth Ashes Test.,https://indianexpress.com/article/sports/cricket/watch-joe-root-bowls-a-bouncer-to-usman-khawaja-on-day-4-at-sydney-7712628/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
2,Southern Railway revises EMU schedule following full lockdown on Sundays,"🔴  The Southern Railway has appealed passengers taking suburban trains to adhere to COVID-19 behaviour and extend their cooperation, a press release said in Chennai on Friday.
",https://indianexpress.com/article/cities/chennai/southern-railway-revises-emu-schedule-following-full-lockdown-on-sundays-7712562/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
3,"Katrina Kaif spotted at Mumbai airport as she resumes work amid rising Covid-19 cases, see photos",Katrina Kaif will next be seen in Sriram Raghavan's Merry Christmas and Maneesh Sharma's Tiger 3 with Salman Khan.,https://indianexpress.com/article/entertainment/bollywood/katrina-kaif-spotted-at-mumbai-airport-see-photos-7712545/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
4,Vishal Dadlani’s father passes away: ‘I can’t even go hold my mother in her most difficult time’,Music composer Vishal Dadlani's father Moti Dadlani passed away on Saturday.,https://indianexpress.com/article/entertainment/bollywood/vishal-dadlani-father-passes-away-7712605/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
5,Cemetery turns makeshift classroom for Vadodara school demolished in 2020,"Two of the eight batches of Kanayda Primary School at Dabhoi taluka have found space in the cemetery located behind the village panchayat office and milk collection centre that, along with a madrassa located a few metres away, have also doubled up as classrooms to accommodate six other classes.",https://indianexpress.com/article/cities/baroda/cemetery-turns-makeshift-classroom-for-vadodara-school-7712353/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
6,Stephen Hawking: Google remembers theoretical physicist with doodle,"Stephen Hawking Google Doodle: On his 80th birth anniversary, Google has paid tribute to English cosmologist, author, and theoretical physicist with an animated video on its homepage.",https://indianexpress.com/article/trending/trending-in-india/stephen-hawking-google-doodle-7712482/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
7,Xiaomi phones may soon have an all-screen under-display fingerprint scanner,Xiaomi's future smartphones could make fingerprint scanner inaccuracy a thing of the past. Here's how. ,https://indianexpress.com/article/technology/mobile-tabs/xiaomi-phones-may-soon-have-an-all-screen-under-display-fingerprint-scanner-7712618/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
8,Bharat Biotech swamped with requests from private hospital after nod to Covaxin for 15-17 age group,"Sources close to the firm said that the government approval was sudden, adding lakhs of doses are being shipped to private hospitals on a daily basis now.",https://indianexpress.com/article/cities/pune/bharat-biotech-swamped-with-requests-from-private-hospital-after-nod-to-covaxin-for-15-17-age-group-7712328/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
9,"No sale of liquor during weekend curfew, says Karnataka Excise Minister",🔴 Bengaluru police commissioner Kamal Pant appealed to people not to venture out unnecessarily.,https://indianexpress.com/article/cities/bangalore/karnataka-bengaluru-alcohol-liquor-sale-during-weekend-curfew-7712619/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
